state,year,utility,design,plant,reissue,total,sirs,ssf,ssjc,sse,reallocation,ppf,ppyf,ppjc,ppyjc,ppe,ppye,firms,newfirms,jc,newjc,emp,nemp
KY,2010,536,64,0,1,601,0,6.47,16.61,1.97,23.4,9.740207121209666,150.58882485592585,3.520157440652254,21.18808390622246,0.41563018457161394,21.044891098816443,61703,3991,170731,28365,1445997,28558
KY,2011,488,59,1,3,551,0,6.7299999999999995,14.02,1.7000000000000002,22.8,9.100819238900636,135.28111956788607,3.1615609274677103,22.5533134132864,0.3801027588147968,22.307692307692307,60544,4073,174281,24431,1449608,24700
KY,2012,543,76,0,1,620,0,6.72,12.8,1.7999999999999998,23.0,10.17427549312416,151.51515151515153,2.987591856402843,23.337222870478413,0.4174330827837131,23.212280044926995,60938,4092,207525,26567,1485268,26710
KY,2013,553,69,1,2,625,0,7.1499999999999995,12.659999999999998,1.6199999999999999,23.2,10.205914531589347,142.79186657527987,3.284995716365586,25.956227418082147,0.417797784535332,25.847808105872623,61239,4377,190259,24079,1495939,24180
KY,2014,646,63,2,3,714,0,7.630000000000001,15.17,2.03,22.8,11.587899246948844,151.85027647809443,3.517397323034026,23.180312966690476,0.46954933128678217,23.180312966690476,61616,4702,202991,30802,1520607,30802
LA,1992,488,36,1,1,526,0,9.84,16.43,3.0300000000000002,33.6,7.992099065562561,81.24806919987643,2.2076908225537024,13.433102638097914,0.40589927524600894,13.38626762355576,65815,6474,238258,39157,1295888,39294
LA,1993,431,47,0,2,482,2,10.08,20.919999999999998,3.54,31.8,7.16185495014933,71.0495283018868,2.186803863655955,10.451450626653367,0.3685849397111273,10.41306602143104,67301,6784,220413,46118,1307704,46288
LA,1994,403,33,0,6,442,0,10.59,22.15,3.75,28.4,6.433489076168435,60.73097004671613,1.9547143109853176,8.824821307351357,0.32901470517081594,8.78099173553719,68703,7278,226120,50086,1343405,50336
LA,1995,370,41,0,1,412,1,10.08,20.3,3.5900000000000003,29.0,5.901226079981666,58.54767656671877,1.6893554206987043,8.320710895688174,0.2972559380841855,8.289071302108482,69816,7037,243880,49515,1386011,49704
LA,1996,400,42,0,2,444,0,9.99,18.54,3.04,27.6,6.228431950172545,62.31578947368421,1.9001562065349966,10.251673978296006,0.3111001805642264,10.220053402080838,71286,7125,233665,43310,1427193,43444
LA,1997,377,31,0,1,409,0,9.950000000000001,18.26,3.3099999999999996,32.2,5.6654476950354615,56.916225994990256,1.5510284570111037,8.494641521973914,0.27989753970746944,8.46002689006102,72192,7186,263696,48148,1461249,48345
LA,1998,485,42,12,3,542,0,9.86,20.169999999999998,3.5900000000000003,29.2,7.465359081017052,75.75122292103424,2.0373488903590546,10.103269582075084,0.3586826684137557,9.993362342355631,72602,7155,266032,53646,1511085,54236
LA,1999,483,33,0,3,519,0,8.99,18.4,2.92,30.8,7.15694251003213,79.57681692732291,2.117166179188134,11.504699414789858,0.3352329869259135,11.468852893730803,72517,6522,245139,45112,1548177,45253
LA,2000,518,54,4,3,579,0,8.7,19.53,3.3099999999999996,31.2,8.049044957878055,92.53635927760908,2.1875968172166513,11.199442929263622,0.3689110561178069,11.145761145761146,71934,6257,264674,51699,1569484,51948
LA,2001,520,35,5,2,562,0,8.43,17.76,2.78,31.0,7.786198201693013,92.40381453469254,2.289560094841564,12.892273811708572,0.355966556878642,12.7927886913569,72179,6082,245462,43592,1578800,43931
LA,2002,445,34,2,3,484,0,8.82,17.849999999999998,3.01,33.6,6.640780428906604,75.31901649548709,1.8344590240981207,10.276444859654339,0.3096500123156255,10.276444859654339,72883,6426,263838,47098,1563055,47098
LA,2003,390,41,5,2,438,1,8.58,17.53,2.82,26.6,5.960886783979096,69.43563728598605,1.7162336899024333,9.789021991775433,0.27582749823829356,9.789021991775433,73479,6308,255210,44744,1587949,44744
LA,2004,343,38,6,0,387,0,8.72,18.85,2.86,27.6,5.2099460158048485,59.75911056207536,1.5970353741272016,8.471978984238179,0.24153986343947773,8.447383930325453,74281,6476,242324,45680,1602220,45813
LA,2005,271,25,1,1,298,0,8.53,17.25,2.68,30.0,4.008447331961315,46.98833175654367,1.2062189084933193,6.993827595109014,0.18676746260106908,6.97565543071161,74343,6342,247053,42609,1595567,42720
LA,2006,321,37,6,1,365,0,8.99,17.98,3.16,35.0,5.151656292783447,57.335846685516806,1.329235161729681,7.3924050632911396,0.2329642498806457,7.371354713627918,70851,6366,274594,49375,1566764,49516
LA,2007,262,31,1,0,294,0,9.31,15.1,2.8000000000000003,28.6,3.967825523645001,42.62722923010005,0.9850929304504287,6.523765144454799,0.18019497832144088,6.428196606611859,74096,6897,298449,45066,1631566,45736
LA,2008,260,55,3,4,322,0,8.4,16.99,2.52,27.0,4.324295287592496,51.50351887396033,1.345979409023078,7.924008268530367,0.19642650171720685,7.794911520491903,74463,6252,239231,40636,1639290,41309
LA,2009,257,55,3,0,315,0,7.3,17.88,2.37,26.0,4.277043815937759,58.6155563825828,1.4879757389098571,8.32144555397052,0.19430639095309443,8.215105361986229,73649,5374,211697,37854,1621151,38344
LA,2010,304,48,1,2,355,0,6.909999999999999,19.009999999999998,2.25,23.2,4.854435312940146,70.26920031670625,1.9123136840857795,10.056942123006317,0.22470501927715877,9.974992272893308,73129,5052,185639,35299,1579849,35589
LA,2011,308,52,6,2,368,0,6.76,15.85,2.09,23.6,5.070686471739191,74.97962510187449,1.7596457756547268,11.101725594304332,0.23016730285826512,11.031175059952039,72574,4908,209133,33148,1598837,33360
LA,2012,364,47,33,1,445,0,7.12,13.889999999999999,2.0,24.8,6.075085324232083,85.31441717791411,1.9324552604037746,13.909292657768887,0.2731972054074629,13.669175241898326,73250,5216,230277,31993,1628860,32555
LA,2013,395,40,3,1,439,0,6.61,14.48,1.9900000000000002,22.2,5.973683136251684,90.32921810699588,1.9370438680868713,13.373952779893374,0.26342839758125924,13.258834189066746,73489,4860,226634,32825,1666487,33110
LA,2014,434,43,10,0,487,0,6.4799999999999995,15.5,2.0500000000000003,22.8,6.63605270688269,102.48316498316498,2.1908515079536457,14.134788413536889,0.2894841179026608,14.134788413536889,73387,4752,222288,34454,1682303,34454
ME,1992,106,22,0,1,129,0,9.1,18.93,2.76,28.6,5.16475157144573,56.75318961724593,2.300326325362435,12.15375918598078,0.3329659522955292,12.07865168539326,24977,2273,56079,10614,387427,10680
ME,1993,114,28,0,0,142,0,9.5,17.23,2.86,25.2,5.623094285827427,59.216013344453714,2.130436739531604,12.36395298215063,0.351667075293902,12.284799723159443,25253,2398,66653,11485,403791,11559
ME,1994,118,22,0,0,140,0,9.86,18.66,2.86,27.8,5.470459518599562,55.48949663099484,2.2426912294753705,12.02026272859964,0.34252775698144966,11.970927746900385,25592,2523,62425,11647,408726,11695
ME,1995,113,24,0,0,137,0,10.459999999999999,18.19,2.71,24.2,5.235602094240838,50.05480453050785,2.189792688969519,12.038664323374341,0.32542340673175135,12.013328656611716,26167,2737,62563,11380,420990,11404
ME,1996,99,15,0,0,114,0,10.39,21.959999999999997,3.1199999999999997,26.2,4.262000897263347,41.00719424460432,1.9297829840538987,8.787481692746473,0.2679906344325651,8.593396653098146,26748,2780,59074,12973,425388,13266
ME,1997,93,16,0,0,109,0,10.01,17.79,2.76,26.8,4.006763711218939,40.0293793609989,1.6233282697405655,9.126685087498954,0.2504175540407974,9.081063067566442,27204,2723,67146,11943,435273,12003
ME,1998,123,20,0,1,144,0,10.489999999999998,22.7,3.4000000000000004,23.6,5.187880534639911,49.43357363542739,2.1440376397718985,9.44324217981507,0.3200248908248419,9.404388714733543,27757,2913,67163,15249,449965,15312
ME,1999,121,24,0,0,145,0,9.82,20.13,3.0700000000000003,24.8,5.120418108623491,52.120776419841846,2.0522256032835613,10.192605089273162,0.31185277108070963,10.156906696553657,28318,2782,70655,14226,464963,14276
ME,2000,127,24,0,0,151,0,9.17,21.42,3.4000000000000004,23.4,5.280274154631605,57.56767060617613,1.9649177597334997,9.174311926605505,0.3113081125657149,9.157064887810796,28597,2623,76848,16459,485050,16490
